language,library,size,operation,time_ms,ratio_vs_tidy
typescript,tidy-ts,500000,creation,215.917,1
typescript,arquero,500000,creation,36.772,0.17
typescript,tidy-ts,500000,filter,7.742,1
typescript,arquero,500000,filter,8.154,1.053
typescript,tidy-ts,500000,select,0.045,1
typescript,arquero,500000,select,0.012,0.264
typescript,tidy-ts,500000,sort,187.764,1
typescript,arquero,500000,sort,245.303,1.306
typescript,tidy-ts,500000,mutate,3.107,1
typescript,arquero,500000,mutate,9.12,2.935
typescript,tidy-ts,500000,distinct,127.042,1
typescript,arquero,500000,distinct,546.319,4.3
typescript,tidy-ts,500000,groupBy,30.673,1
typescript,arquero,500000,groupBy,49.154,1.603
typescript,tidy-ts,500000,summarize,184.089,1
typescript,arquero,500000,summarize,49.039,0.266
typescript,tidy-ts,500000,innerJoin,141.557,1
typescript,arquero,500000,innerJoin,220.271,1.556
typescript,tidy-ts,500000,leftJoin,228.716,1
typescript,arquero,500000,leftJoin,257.529,1.126
typescript,tidy-ts,500000,outerJoin,163.14,1
typescript,arquero,500000,outerJoin,1184.973,7.264
typescript,tidy-ts,500000,pivotLonger,160.768,1
typescript,arquero,500000,pivotLonger,238.698,1.485
typescript,tidy-ts,500000,pivotWider,2.617,1
typescript,arquero,500000,pivotWider,2.211,0.845
typescript,tidy-ts,500000,bindRows,10.895,1
typescript,arquero,500000,bindRows,22.426,2.058
typescript,tidy-ts,500000,stats,191.495,1
typescript,arquero,500000,stats,237.138,1.238
python,pandas,500000,creation,666.927,3.089
python,polars,500000,creation,8.966,0.042
python,pandas,500000,filter,1.98,0.256
python,polars,500000,filter,0.489,0.063
python,pandas,500000,select,1.317,29.57
python,polars,500000,select,0.034,0.762
python,pandas,500000,sort,171.514,0.913
python,polars,500000,sort,48.197,0.257
python,pandas,500000,mutate,1.462,0.47
python,polars,500000,mutate,0.109,0.035
python,pandas,500000,distinct,40.531,0.319
python,polars,500000,distinct,16.637,0.131
python,pandas,500000,groupBy,9.397,0.306
python,polars,500000,groupBy,2.152,0.07
python,pandas,500000,summarize,6.456,0.035
python,polars,500000,summarize,1.226,0.007
python,pandas,500000,innerJoin,33.89,0.239
python,polars,500000,innerJoin,8.498,0.06
python,pandas,500000,leftJoin,39.313,0.172
python,polars,500000,leftJoin,10.88,0.048
python,pandas,500000,outerJoin,47.199,0.289
python,polars,500000,outerJoin,23.33,0.143
python,pandas,500000,pivotLonger,64.685,0.402
python,polars,500000,pivotLonger,17.024,0.106
python,pandas,500000,pivotWider,5.416,2.07
python,polars,500000,pivotWider,2.543,0.972
python,pandas,500000,bindRows,1.23,0.113
python,polars,500000,bindRows,0.068,0.006
python,pandas,500000,stats,20.746,0.108
python,polars,500000,stats,4.427,0.023
r,r,500000,creation,0.024,0
r,r,500000,filter,4.447,0.574
r,r,500000,select,0.37,8.302
r,r,500000,sort,20.575,0.11
r,r,500000,mutate,0.725,0.233
r,r,500000,distinct,12.153,0.096
r,r,500000,groupBy,298.212,9.722
r,r,500000,summarize,6.226,0.034
r,r,500000,innerJoin,343.436,2.426
r,r,500000,leftJoin,558.421,2.442
r,r,500000,outerJoin,550.389,3.374
r,r,500000,pivotLonger,37.746,0.235
r,r,500000,pivotWider,2.297,0.878
r,r,500000,bindRows,33.344,3.061
r,r,500000,stats,22.194,0.116
