NAME,COMPONENT_ID,ABBREVIATION,EXTERNAL_NAME,BASE_NAME,COMPONENT_TYPE,LAB_DATA_TYPE_C,COMMON_NAME,LOINC_CODE,COMPONENT_SUBTYPE_C,RECORD_STATE,GROUP_TYPE_C,DEFAULT_LOW,DEFAULT_HIGH,DFLT_UNITS,,
# GENOTYPING TARGETS MA,13835,,# Genotyping Targets Ma,GENOTYPINGT,,,# GENOTYPING TARGETS MA,,,,,,,,,
# LYMPHOCYTES VR,3292,,# Lymphocytes Vr,LYMPHCYTSVR,,,# LYMPHOCYTES VR,,,,,,,,,
# OF GENOTYPING TARGETS,13837,,# Of Genotyping Targets,OFGENOTYPIN,,,# OF GENOTYPING TARGETS,,,,,,,,,
# OF GENOTYPING TARGETS,13861,,# Of Genotyping Targets,OFGENOTYPIN,,,# OF GENOTYPING TARGETS,,,,,,,,,
# OF GENOTYPING TARGETS,13838,,# Of Genotyping Targets,OFGENOTYPIN,,,# OF GENOTYPING TARGETS,,,,,,,,,
# OF GENOTYPING TARGETS,13857,,# Of Genotyping Targets,OFGENOTYPIN,,,# OF GENOTYPING TARGETS,,,,,,,,,
# PMN VR,3299,,# PMN Vr,PMNVR,,,# PMN VR,,,,,,,,,
% ALBUMIN (CALCULATED),11071,,% Albumin (calculated),PRCTALBUMCAL,,,% ALBUMIN (CALCULATED),,,,,,,,,
% ALPHA-BETA,4576,,% Alpha-Beta,ALPHAB,,,% ALPHA-BETA,34962-1,,,,,,%,,
"% ALPHA-BETA+, CD4-, CD8-",4577,,"% Alp/Bet+,CD4-,CD8-",PRALPHBCD4CD,,,"% ALPHA-BETA+, CD4-, CD8-",,,,,,,%,,
% ALPHA/BETA TCR+ DNT,11931,APTCRDNT,% alpha/beta TCR+ DNT,APTCRDNT,1,,% ALPHA/BETA TCR+ DNT,,,,,,,%,,
% ALPHA/BETA TCR+ DNT B220+,11932,ABTCRDNTB2,% alpha/beta TCR+ DNT B220+,ABTCRDNTB220,1,,% ALPHA/BETA TCR+ DNT B220+,,,,,,,%,,
% ANEUPLOIDY,12689,,% Aneuploidy,ANEUPLOIDY,,,% ANEUPLOIDY,,,,,,,%,,
% BASOPHILS FLUID,7148,PRBSPHLSFL,"% Basophils, Fluid",PRBSPHLSFLD,1,,% BASOPHILS FLUID,,,,,,,,,
% BCL-2,7211,,% bcl-2,LKLMPPHNPBCL,,,% BCL-2,32757-7,,,,,,%,,
% BLASTS FLUID,7315,PRBLSTSFLD,% Blasts,PRBLSTSFLD,1,,% BLASTS FLUID,,,,,,,%,,
% CD1,2292,,% CD1,CD1,,,% CD1,8106-7,,,,,,%,,
% CD10,1271,,% CD10,,,,% CD10,,,2,,,,%,,
% CD10,2996,,% CD10,CD10,,,% CD10,20587-2,,,,,,%,,
% CD10,1531,,% CD10,,,,% CD10,,,2,,,,%,,
% CD10,3873,,% CD10,,,,% CD10,,,2,,,,%,,
% CD103,7149,,% CD103,CD103,,,% CD103,17100-9,,,,,,%,,
% CD117,3818,,% CD117,CD117,,,% CD117,17107-4,,,,,,%,,
% CD117,2103,,% CD117,,,,% CD117,,,2,,,,%,,
% CD117,2589,,% CD117,,,,% CD117,,,2,,,,%,,
% CD11B,2593,,% CD11b,,,,% CD11B,,,2,,,,%,,
% CD11B,3815,CD11B,% CD11b,CD11B,1,,% CD11B,17110-8,,,,,,%,,
